CategoryId,CategoryName,DescriptionText,CustomerName,ContractName,Customer_Address,Customer_City,Customer_PostalCode,Customer_Country,EmployeeID,employee_FirstName,employee_LastName,Employee_BirthDate,employee_EducationDetails,OrderID,CustomerID,OrderDate,ShipperID,OrderDetailID,ProductId,Quantity,ProductName,SuppliersID,Unit,Price,ShipperName,ShipperPhone,suppliersName,suppliers_contactName,suppliersAddress,SuppliersCity,supplies_PostalCode,SuppliersCountry,SuppliersPhone
6,Meat/Poultry,"Prepared meats","Blondel père et fils","Frédérique Citeaux","24 place Kléber",Strasbourg,67000,France,2,Andrew,Fuller,1952-02-19,"Andrew received his BTS commercial and a Ph.D. in international marketing from the University of Dallas. He is fluent in French and Italian and reads German. He joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales. Andrew is a member of the Sales Management Roundtable, the Seattle Chamber of Commerce, and the Pacific Rim Importers Association.",10265,7,1996-07-25,1,49,17,30,"Alice Mutton",7,"20 - 1 kg tins",39,"Speedy Express","(503) 555-9831","Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343"
5,Grains/Cereals,"Breads, crackers, pasta, and cereal","Romero y tomillo","Alejandra Camino","Gran Vía 1",Madrid,28001,Spain,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10282,69,1996-08-15,1,90,57,2,"Ravioli Angelo",26,"24 - 250 g pkgs.",19.5,"Speedy Express","(503) 555-9831","Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153",Salerno,84100,Italy,"(089) 6547665"
5,Grains/Cereals,"Breads, crackers, pasta, and cereal","Old World Delicatessen","Rene Phillips","2743 Bering St.",Anchorage,99508,USA,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10260,55,1996-07-19,1,35,57,50,"Ravioli Angelo",26,"24 - 250 g pkgs.",19.5,"Speedy Express","(503) 555-9831","Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153",Salerno,84100,Italy,"(089) 6547665"
5,Grains/Cereals,"Breads, crackers, pasta, and cereal","Victuailles en stock","Mary Saveley","2 rue du Commerce",Lyon,69004,France,3,Janet,Leverling,1963-08-30,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.",10251,84,1996-07-08,1,10,57,15,"Ravioli Angelo",26,"24 - 250 g pkgs.",19.5,"Speedy Express","(503) 555-9831","Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153",Salerno,84100,Italy,"(089) 6547665"
5,Grains/Cereals,"Breads, crackers, pasta, and cereal","Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road",Cork,,Ireland,3,Janet,Leverling,1963-08-30,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.",10309,37,1996-09-19,1,165,42,2,"Singaporean Hokkien Fried Mee",20,"32 - 1 kg pkgs.",14,"Speedy Express","(503) 555-9831","Leka Trading","Chandra Leka","471 Serangoon Loop, Suite #402",Singapore,0512,Singapore,555-8787
5,Grains/Cereals,"Breads, crackers, pasta, and cereal","Victuailles en stock","Mary Saveley","2 rue du Commerce",Lyon,69004,France,3,Janet,Leverling,1963-08-30,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.",10251,84,1996-07-08,1,9,22,6,"Gustafs Knäckebröd",9,"24 - 500 g pkgs.",21,"Speedy Express","(503) 555-9831","PB Knäckebröd AB","Lars Peterson","Kaloadagatan 13",Göteborg,"S-345 67",Sweden,"031-987 65 43"
4,"Dairy Products",Cheeses,"Vins et alcools Chevalier","Paul Henriot","59 rue de lAbbaye",Reims,51100,France,6,Michael,Suyama,1963-07-02,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses Multi-Cultural Selling and Time Management for the Sales Professional. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",10274,85,1996-08-06,1,71,72,7,"Mozzarella di Giovanni",14,"24 - 200 g pkgs.",34.8,"Speedy Express","(503) 555-9831","Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",Ravenna,48100,Italy,"(0544) 60323"
4,"Dairy Products",Cheeses,"White Clover Markets","Karl Jablonski","305 - 14th Ave. S. Suite 3B",Seattle,98128,USA,5,Steven,Buchanan,1955-03-04,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses Successful Telemarketing and International Sales Management. He is fluent in French.",10269,89,1996-07-31,1,58,72,20,"Mozzarella di Giovanni",14,"24 - 200 g pkgs.",34.8,"Speedy Express","(503) 555-9831","Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",Ravenna,48100,Italy,"(0544) 60323"
4,"Dairy Products",Cheeses,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road",Cork,,Ireland,3,Janet,Leverling,1963-08-30,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.",10309,37,1996-09-19,1,167,71,3,Fløtemysost,15,"10 - 500 g pkgs.",21.5,"Speedy Express","(503) 555-9831","Norske Meierier","Beate Vileid","Hatlevegen 5",Sandvika,1320,Norway,(0)2-953010
4,"Dairy Products",Cheeses,"Vins et alcools Chevalier","Paul Henriot","59 rue de lAbbaye",Reims,51100,France,6,Michael,Suyama,1963-07-02,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses Multi-Cultural Selling and Time Management for the Sales Professional. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",10274,85,1996-08-06,1,70,71,20,Fløtemysost,15,"10 - 500 g pkgs.",21.5,"Speedy Express","(503) 555-9831","Norske Meierier","Beate Vileid","Hatlevegen 5",Sandvika,1320,Norway,(0)2-953010
4,"Dairy Products",Cheeses,LILA-Supermercado,"Carlos González","Carrera 52 con Ave. Bolívar #65-98 Llano Largo",Barquisimeto,3508,Venezuela,6,Michael,Suyama,1963-07-02,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses Multi-Cultural Selling and Time Management for the Sales Professional. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",10296,46,1996-09-03,1,131,69,15,Gudbrandsdalsost,15,"10 kg pkg.",36,"Speedy Express","(503) 555-9831","Norske Meierier","Beate Vileid","Hatlevegen 5",Sandvika,1320,Norway,(0)2-953010
4,"Dairy Products",Cheeses,"Lehmanns Marktstand","Renate Messner","Magazinweg 7","Frankfurt a.M.",60528,Germany,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10284,44,1996-08-19,1,97,60,20,"Camembert Pierrot",28,"15 - 300 g rounds",34,"Speedy Express","(503) 555-9831","Gai pâturage","Eliane Noz","Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06
4,"Dairy Products",Cheeses,"Save-a-lot Markets","Jose Pavarotti","187 Suffolk Ln.",Boise,83720,USA,9,Anne,Dodsworth,1969-07-02,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German.",10324,71,1996-10-08,1,199,59,40,"Raclette Courdavault",28,"5 kg pkg.",55,"Speedy Express","(503) 555-9831","Gai pâturage","Eliane Noz","Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06
4,"Dairy Products",Cheeses,"Magazzini Alimentari Riuniti","Giovanni Rovelli","Via Ludovico il Moro 22",Bergamo,24100,Italy,1,Nancy,Davolio,1968-12-08,"Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of Toastmasters International.",10275,49,1996-08-07,1,73,59,6,"Raclette Courdavault",28,"5 kg pkg.",55,"Speedy Express","(503) 555-9831","Gai pâturage","Eliane Noz","Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06
4,"Dairy Products",Cheeses,Frankenversand,"Peter Franken","Berliner Platz 43",München,80805,Germany,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10267,25,1996-07-29,1,53,59,70,"Raclette Courdavault",28,"5 kg pkg.",55,"Speedy Express","(503) 555-9831","Gai pâturage","Eliane Noz","Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06
4,"Dairy Products",Cheeses,"White Clover Markets","Karl Jablonski","305 - 14th Ave. S. Suite 3B",Seattle,98128,USA,5,Steven,Buchanan,1955-03-04,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses Successful Telemarketing and International Sales Management. He is fluent in French.",10269,89,1996-07-31,1,57,33,60,Geitost,15,"500 g",2.5,"Speedy Express","(503) 555-9831","Norske Meierier","Beate Vileid","Hatlevegen 5",Sandvika,1320,Norway,(0)2-953010
4,"Dairy Products",Cheeses,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,1,Nancy,Davolio,1968-12-08,"Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of Toastmasters International.",10258,20,1996-07-17,1,31,32,6,"Mascarpone Fabioli",14,"24 - 200 g pkgs.",32,"Speedy Express","(503) 555-9831","Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",Ravenna,48100,Italy,"(0544) 60323"
4,"Dairy Products",Cheeses,LILA-Supermercado,"Carlos González","Carrera 52 con Ave. Bolívar #65-98 Llano Largo",Barquisimeto,3508,Venezuela,6,Michael,Suyama,1963-07-02,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses Multi-Cultural Selling and Time Management for the Sales Professional. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",10296,46,1996-09-03,1,129,11,12,"Queso Cabrales",5,"1 kg pkg.",21,"Speedy Express","(503) 555-9831","Cooperativa de Quesos Las Cabras","Antonio del Valle Saavedra","Calle del Rosal 4",Oviedo,33007,Spain,"(98) 598 76 54"
3,Confections,"Desserts, candies, and sweet breads","Reggiani Caseifici","Maurizio Moroni","Strada Provinciale 124","Reggio Emilia",42100,Italy,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10288,66,1996-08-23,1,108,68,3,"Scottish Longbreads",8,"10 boxes x 8 pieces",12.5,"Speedy Express","(503) 555-9831","Specialty Biscuits, Ltd.","Peter Wilson","29 Kings Way",Manchester,"M14 GSD",UK,"(161) 555-4448"
3,Confections,"Desserts, candies, and sweet breads","Old World Delicatessen","Rene Phillips","2743 Bering St.",Anchorage,99508,USA,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10260,55,1996-07-19,1,36,62,15,"Tarte au sucre",29,"48 pies",49.3,"Speedy Express","(503) 555-9831","Forêts dérables","Chantal Goulet","148 rue Chasseur",Ste-Hyacinthe,"J2S 7S8",Canada,"(514) 555-2955"
3,Confections,"Desserts, candies, and sweet breads","Comércio Mineiro","Pedro Afonso","Av. dos Lusíadas 23","São Paulo",05432-043,Brazil,8,Laura,Callahan,1958-01-09,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.",10290,15,1996-08-27,1,113,49,15,Maxilaku,23,"24 - 50 g pkgs.",20,"Speedy Express","(503) 555-9831","Karkki Oy","Anne Heikkonen","Valtakatu 12",Lappeenranta,53120,Finland,"(953) 10956"
3,Confections,"Desserts, candies, and sweet breads","Lehmanns Marktstand","Renate Messner","Magazinweg 7","Frankfurt a.M.",60528,Germany,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10284,44,1996-08-19,1,95,27,15,"Schoggi Schokolade",11,"100 - 100 g pieces",43.9,"Speedy Express","(503) 555-9831","Heli Süßwaren GmbH & Co. KG","Petra Winkler","Tiergartenstraße 5",Berlin,10785,Germany,"(010) 9984510"
3,Confections,"Desserts, candies, and sweet breads","Königlich Essen","Philip Cramer","Maubelstr. 90",Brandenburg,14776,Germany,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10323,39,1996-10-07,1,194,25,4,"NuNuCa Nuß-Nougat-Creme",11,"20 - 450 g glasses",14,"Speedy Express","(503) 555-9831","Heli Süßwaren GmbH & Co. KG","Petra Winkler","Tiergartenstraße 5",Berlin,10785,Germany,"(010) 9984510"
3,Confections,"Desserts, candies, and sweet breads","Romero y tomillo","Alejandra Camino","Gran Vía 1",Madrid,28001,Spain,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10281,69,1996-08-14,1,86,19,1,"Teatime Chocolate Biscuits",8,"10 boxes x 12 pieces",9.2,"Speedy Express","(503) 555-9831","Specialty Biscuits, Ltd.","Peter Wilson","29 Kings Way",Manchester,"M14 GSD",UK,"(161) 555-4448"
3,Confections,"Desserts, candies, and sweet breads","Save-a-lot Markets","Jose Pavarotti","187 Suffolk Ln.",Boise,83720,USA,9,Anne,Dodsworth,1969-07-02,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German.",10324,71,1996-10-08,1,196,16,21,Pavlova,7,"32 - 500 g boxes",17.45,"Speedy Express","(503) 555-9831","Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343"
3,Confections,"Desserts, candies, and sweet breads",LILA-Supermercado,"Carlos González","Carrera 52 con Ave. Bolívar #65-98 Llano Largo",Barquisimeto,3508,Venezuela,6,Michael,Suyama,1963-07-02,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses Multi-Cultural Selling and Time Management for the Sales Professional. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",10296,46,1996-09-03,1,130,16,30,Pavlova,7,"32 - 500 g boxes",17.45,"Speedy Express","(503) 555-9831","Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343"
2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings","Comércio Mineiro","Pedro Afonso","Av. dos Lusíadas 23","São Paulo",05432-043,Brazil,8,Laura,Callahan,1958-01-09,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.",10290,15,1996-08-27,1,114,77,10,"Original Frankfurter grüne Soße",12,"12 boxes",13,"Speedy Express","(503) 555-9831","Plutzer Lebensmittelgroßmärkte AG","Martin Bein","Bogenallee 51",Frankfurt,60439,Germany,"(069) 992755"
2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings","Lehmanns Marktstand","Renate Messner","Magazinweg 7","Frankfurt a.M.",60528,Germany,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10284,44,1996-08-19,1,96,44,21,"Gula Malacca",20,"20 - 2 kg bags",19.45,"Speedy Express","(503) 555-9831","Leka Trading","Chandra Leka","471 Serangoon Loop, Suite #402",Singapore,0512,Singapore,555-8787
2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings","Königlich Essen","Philip Cramer","Maubelstr. 90",Brandenburg,14776,Germany,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10323,39,1996-10-07,1,193,15,5,"Genen Shouyu",6,"24 - 250 ml bottles",15.5,"Speedy Express","(503) 555-9831",Mayumis,"Mayumi Ohno","92 Setsuko Chuo-ku",Osaka,545,Japan,"(06) 431-7877"
2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings","Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road",Cork,,Ireland,3,Janet,Leverling,1963-08-30,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.",10309,37,1996-09-19,1,164,6,30,"Grandmas Boysenberry Spread",3,"12 - 8 oz jars",25,"Speedy Express","(503) 555-9831","Grandma Kellys Homestead","Regina Murphy","707 Oxford Rd.","Ann Arbor",48104,USA,"(313) 555-5735"
2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings","Comércio Mineiro","Pedro Afonso","Av. dos Lusíadas 23","São Paulo",05432-043,Brazil,8,Laura,Callahan,1958-01-09,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.",10290,15,1996-08-27,1,111,5,20,"Chef Antons Gumbo Mix",2,"36 boxes",21.35,"Speedy Express","(503) 555-9831","New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans",70117,USA,"(100) 555-4822"
2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings","Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,1,Nancy,Davolio,1968-12-08,"Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of Toastmasters International.",10258,20,1996-07-17,1,30,5,65,"Chef Antons Gumbo Mix",2,"36 boxes",21.35,"Speedy Express","(503) 555-9831","New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans",70117,USA,"(100) 555-4822"
2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings","Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road",Cork,,Ireland,3,Janet,Leverling,1963-08-30,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.",10309,37,1996-09-19,1,163,4,20,"Chef Antons Cajun Seasoning",2,"48 - 6 oz jars",22,"Speedy Express","(503) 555-9831","New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans",70117,USA,"(100) 555-4822"
1,Beverages,"Soft drinkscoffees, teas, beers, and ales",Frankenversand,"Peter Franken","Berliner Platz 43",München,80805,Germany,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10267,25,1996-07-29,1,54,76,15,Lakkalikööri,23,"500 ml",18,"Speedy Express","(503) 555-9831","Karkki Oy","Anne Heikkonen","Valtakatu 12",Lappeenranta,53120,Finland,"(953) 10956"
1,Beverages,"Soft drinkscoffees, teas, beers, and ales","Berglunds snabbköp","Christina Berglund","Berguvsvägen 8",Luleå,"S-958 22",Sweden,2,Andrew,Fuller,1952-02-19,"Andrew received his BTS commercial and a Ph.D. in international marketing from the University of Dallas. He is fluent in French and Italian and reads German. He joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales. Andrew is a member of the Sales Management Roundtable, the Seattle Chamber of Commerce, and the Pacific Rim Importers Association.",10280,5,1996-08-14,1,85,75,30,"Rhönbräu Klosterbier",12,"24 - 0.5 l bottles",7.75,"Speedy Express","(503) 555-9831","Plutzer Lebensmittelgroßmärkte AG","Martin Bein","Bogenallee 51",Frankfurt,60439,Germany,"(069) 992755"
1,Beverages,"Soft drinkscoffees, teas, beers, and ales","Blondel père et fils","Frédérique Citeaux","24 place Kléber",Strasbourg,67000,France,2,Andrew,Fuller,1952-02-19,"Andrew received his BTS commercial and a Ph.D. in international marketing from the University of Dallas. He is fluent in French and Italian and reads German. He joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales. Andrew is a member of the Sales Management Roundtable, the Seattle Chamber of Commerce, and the Pacific Rim Importers Association.",10265,7,1996-07-25,1,50,70,20,"Outback Lager",7,"24 - 355 ml bottles",15,"Speedy Express","(503) 555-9831","Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343"
1,Beverages,"Soft drinkscoffees, teas, beers, and ales","Old World Delicatessen","Rene Phillips","2743 Bering St.",Anchorage,99508,USA,4,Margaret,Peacock,1958-09-19,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",10260,55,1996-07-19,1,37,70,21,"Outback Lager",7,"24 - 355 ml bottles",15,"Speedy Express","(503) 555-9831","Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343"
